OBJECTID_1,YearAnnexed_num,majorTreeType,inGreenwayBuffer
1062,1970,Ash,0
1063,1970,Ash,0
1064,1946,Oak,0
1065,1946,Pine,0
1066,1946,Pine,0
1067,1946,Ash,0
1068,1946,Ash,0
1069,1946,Ash,0
1070,1946,Ash,0
1071,1946,Pear,0
1072,1946,Pear,0
1073,1946,Locust,0
1074,1946,Maple,0
1075,1946,Maple,0
1076,1946,Ash,0
1077,1946,Linden,0
1078,1946,Linden,0
1079,1946,Linden,0
1080,1946,Locust,0
1081,1946,Pine,0
1082,1890,Locust,0
1083,1890,Pear,0
1084,1890,Oak,0
1085,1890,Pear,0
1086,1890,Locust,0
1087,1890,Hawthorn,0
1088,1890,Hawthorn,0
1089,1946,Ash,0
1090,1946,Ash,0
1091,1946,Ash,0
1092,1946,Ash,0
1093,1946,Pear,0
1094,1946,Pear,0
1095,1946,Linden,0
1096,1946,Linden,0
1097,1946,Linden,0
1098,1946,Linden,0
1099,1946,Japanese lilac,0
1100,1946,Japanese lilac,0
1101,1946,Japanese lilac,0
1102,1946,Japanese lilac,0
1103,1970,Ash,0
1104,1970,Locust,0
1105,1970,Apple,0
1106,1970,Cherry,0
1107,1970,Apple,0
1108,1970,Cherry,0
1109,1970,Ash,0
1110,1970,Linden,0
1111,1970,Ash,0
1112,1970,Spruce,0
1113,1970,Linden,0
1114,1970,Spruce,0
1115,1970,Ash,0
1116,1970,Spruce,0
1117,1970,Spruce,0
1118,1970,Hawthorn,0
1119,1970,Spruce,0
1120,1970,Ash,0
1121,1970,Spruce,0
1122,1970,Ash,0
1123,1970,Filbert,0
1124,1970,Hackberry,0
1125,1970,Spruce,0
1126,1970,Ash,0
1127,1970,Spruce,0
1128,1970,Ash,0
1129,1970,Oak,0
1130,1970,Pine,0
1131,1970,Pine,0
1132,1970,Pine,0
1133,1967,Pear,1
1134,1967,Hackberry,1
1135,1969,Ash,1
1136,1969,Ash,1
1137,1969,Ash,1
1138,1969,Spruce,1
1139,1969,Spruce,1
1140,1963,Pine,1
1141,1963,Cherry,1
1142,1963,Cottonwood,1
1143,1963,Spruce,1
1144,1963,Spruce,1
1145,1963,Pine,1
1146,1963,Locust,1
1147,1963,Cherry,1
1148,1963,Linden,1
1149,1963,Oak,1
1150,1963,Spruce,1
1151,1963,Spruce,1
1152,1963,Spruce,1
1153,1963,Locust,1
1154,1963,Ash,1
1155,1963,Pine,1
1156,1963,Apple,1
1157,1963,Cherry,1
1158,1963,Apple,1
1159,1967,Ash,0
1160,1967,Pine,0
1161,1967,Pear,0
1162,1967,Oak,0
1163,1967,Cottonwood,0
1164,1967,Maple,0
1165,1967,Maple,0
1166,1967,Locust,0
1167,1967,Pine,0
1168,1967,Linden,0
1169,1967,Linden,0
1170,1967,Oak,0
1171,1967,Oak,0
1172,1967,Ash,0
1173,1967,Maple,0
1174,1967,Linden,0
1175,1967,Linden,0
1176,1967,Pine,0
1177,1967,Pine,0
1178,1967,Linden,0
1179,1967,Maple,0
1180,1967,Pine,0
1181,1967,Pine,0
1182,1967,Linden,0
1183,1967,Linden,0
1184,1967,Ash,0
1185,1967,Ash,0
1186,1967,Ash,0
1187,1967,Apple,0
1188,1967,Linden,0
1189,1872,Ash,0
1190,1872,Ash,0
1191,1872,,0
